admissions_diabetes_persons_hospitals_201718_asr_per_100000, admssns_gntrnry_systm_dsss_prsns_hsptls_201718_asr_pr_100000, admissions_cancers_persons_all_hospitals_201718_asr_per_100000, admsn_msclkt_sytm_cntve_tse_ds_prsn_hsptl_201718_nmbr, admssns_mntl_hlth_rltd_cndtns_prsns_hsptls_201718_nmbr, admissions_for_diabetes_persons_all_hospitals_201718_sr, admsn_msclkt_sytm_cntve_tse_ds_prsn_hsptl_201718_sr, admssns_gntrnry_systm_dsss_prsns_hsptls_201718_sr, admssns_rsprtry_systm_dsss_prsns_hsptls_201718_sr, admssns_infcts_prstc_dsss_prsns_hsptls_201718_asr_pr_100000, admissions_nervous_system_diseases_persons_hospitals_201718_sr, admssns_dgstve_systm_dsss_prsns_hsptls_201718_nmbr, admissions_for_asthma_persons_all_hospitals_201718_sr, admissions_for_all_cancers_persons_all_hospitals_201718_number, admssns_md_affctve_dsrdrs_prsns_hsptls_201718_nmbr, admssns_endcrne_ntrtnl_mtblc_dsss_prsns_hsptls_201718_sr, admssns_chrnc_kdny_dsse_prsns_hsptls_201718_nmbr, admssns_dgstve_systm_dsss_prsns_hsptls_201718_sr, admsn_cngtl_mlfrtns_dfrmtns_chrmsl_abnrmlts_prsn_hsptl_201718_n, admissions_for_stroke_persons_all_hospitals_201718_sr, admsn_msclkt_sytm_cntve_tse_ds_prsn_hsptl_201718_asr_pr_100000, admssns_eye_adnxa_dsss_prsns_hsptls_201718_asr_pr_100000, admssns_rsprtry_systm_dsss_prsns_hsptls_201718_asr_pr_100000, admissions_heart_failure_persons_hospitals_201718_number, admssns_chrnc_obstrctve_plmnry_dsse_cpd_prsns_hsptls_201718_sr, admssns_md_affctve_dsrdrs_prsns_hsptls_201718_asr_pr_100000, admsn_cngtl_mlfrtns_dfrmtns_chrmsl_abnrmlts_prsn_hsptl_201718_a, admissions_eye_adnexa_diseases_persons_hospitals_201718_number, lga_code, admissions_stroke_persons_hospitals_201718_asr_per_100000, admssns_dgstve_systm_dsss_prsns_hsptls_201718_asr_pr_100000, admissions_for_heart_failure_persons_all_hospitals_201718_sr, admsn_cngtl_mlfrtns_dfrmtns_chrmsl_abnrmlts_prsn_hsptl_201718_s, admssns_hrt_flre_prsns_hsptls_201718_asr_pr_100000, admssns_skn_sbctns_tsse_dsss_prsns_hsptls_201718_asr_pr_100000, admssns_rsprtry_systm_dsss_prsns_hsptls_201718_nmbr, admssns_endcrne_ntrtnl_mtblc_dsss_prsns_hsptls_201718_nmbr, admissions_mood_affective_disorders_persons_hospitals_201718_sr, admissions_for_all_cancers_persons_all_hospitals_201718_sr, admssns_skn_sbctns_tsse_dsss_prsns_hsptls_201718_nmbr, admssns_er_mstd_prcss_dsss_prsns_hsptls_201718_nmbr, admssns_ischmc_hrt_dsse_prsns_hsptls_201718_asr_pr_100000, admssns_infcts_prstc_dsss_prsns_hsptls_201718_nmbr, admsn_chrn_obstrcve_plmnry_dse_cpd_prsn_hsptl_201718_nmbr, admssns_gntrnry_systm_dsss_prsns_hsptls_201718_nmbr, admsn_endcr_ntrl_mtblc_ds_prsn_hsptl_201718_asr_pr_100000, admssns_chrnc_kdny_dsse_prsns_hsptls_201718_asr_pr_100000, admssns_skn_sbctns_tsse_dsss_prsns_hsptls_201718_sr, admssns_crcltry_systm_dsss_prsns_hsptls_201718_asr_pr_100000, admssns_er_mstd_prcss_dsss_prsns_hsptls_201718_sr, admssns_infcts_prstc_dsss_prsns_hsptls_201718_sr, admissions_for_asthma_persons_all_hospitals_201718_number, admssns_nrvs_systm_dsss_prsns_hsptls_201718_asr_pr_100000, admissions_ischaemic_heart_disease_persons_hospitals_201718_sr, admissions_chronic_kidney_disease_persons_hospitals_201718_sr, admssns_nrvs_systm_dsss_prsns_hsptls_201718_nmbr, admssns_er_mstd_prcss_dsss_prsns_hsptls_201718_asr_pr_100000, admssns_crcltry_systm_dsss_prsns_hsptls_201718_nmbr, admsn_chrn_obstrcve_plmnry_dse_cpd_prsn_pblc_hsptl_201718_sr, admssns_mntl_hlth_rltd_cndtns_prsns_hsptls_201718_sr, admssns_mntl_hlth_rltd_cndtns_prsns_hsptls_201718_asr_pr_100000, admissions_for_diabetes_persons_all_hospitals_201718_number, admissions_for_stroke_persons_all_hospitals_201718_number, admssns_ischmc_hrt_dsse_prsns_hsptls_201718_nmbr, admissions_eye_adnexa_diseases_persons_hospitals_201718_sr, admssns_crcltry_systm_dsss_prsns_hsptls_201718_sr
null,2317.69758972032,2628.90988168302,223.915289387666,77.7226624320824,null,77.241264369878,118.11181954151,130.006800391915,null,83.8329092185195,378.620398419144,null,245.751656451918,null,179.846260255279,null,119.574192023273,null,null,2514.45638468538,1325.84748969104,2491.76553472461,null,null,null,null,138.050252796032,21270,null,5061.25551636359,null,null,null,740.106574572697,201.338706490728,108.811727404915,null,97.4005603744005,55.8862953678306,22.206474980595,750.305973747173,null,null,172.840396932297,1401.54014851284,null,111.048096967312,2421.01275056859,121.126840885519,null,null,1082.49656930459,119.763856370976,null,83.6443890935743,332.522867946668,242.790793121172,161.841439697414,72.0955253588286,1210.22973740831,null,null,75.1319070176796,79.4241879335249,106.194498055507
289.728874921469,2248.06353792673,3170.93787048721,1368.78120536522,426.042190606701,151.304199105542,89.274096993346,114.563209664248,126.381762435503,861.937827537854,127.23032132992,2231.40774917984,null,1541.42980367924,113.417677206096,170.829020225176,71.658638362194,125.423265279854,67.6084381213402,115.10097073427,2906.16453528019,1664.36492666063,2422.28651812991,142.297196628046,165.589714098323,289.909391415966,189.809212549691,870.431778082302,21370,295.834682311436,5308.83113267821,102.398548634274,125.851529217239,260.125409034581,783.771886159521,1073.6787744695,570.23898675304,53.3934660132575,117.482583807756,330.373512196336,163.236956339022,742.143060872752,371.072310751213,259.644593496947,937.642619093888,1331.2688850847,163.742178104584,117.59978819908,2557.67280647899,148.079763349561,120.693110219218,null,1642.86779064485,118.460892034735,77.4796277988148,705.45586299572,406.515246611595,1297.05228666583,172.256684016309,66.9583670138571,1123.99495703995,133.33735682073,154.146595905485,378.042190606701,99.7028947544079,112.188909294455
218.155158070489,2280.71005012553,2964.27033364217,2849.05943718957,2034.24211253348,113.9264820655,98.6158634480785,116.226903398317,104.305612284718,868.455731603895,138.121849902984,4852.45444744447,109.939687996753,2571.039113966,950.991757239741,123.622141590067,146.777573431827,119.304325359261,207.353978880416,93.0830889285088,3210.26965963264,1627.7718165923,1999.16565122674,190.561282762376,107.320205472219,972.856829751336,169.023581136799,1315.74315837547,21450,239.243907901583,5049.83278275525,100.452402947552,112.069777194146,255.18156999046,883.212390342075,1952.00144464235,910.519372108113,179.173906100073,109.825594863343,847.566715537887,355.087233419712,646.568055542157,847.221723444962,253.452305322133,2177.38891776829,963.386141239111,156.08092591483,132.520178221717,2514.63485370265,115.697782836553,121.605781746917,185.671663940945,1783.50518978477,103.205207538578,73.85447162338,1723.4916731126,317.618772871678,2080.33630605514,93.1821500620016,122.815548634875,2061.64014249521,197.476414795838,191.571014831148,538.328551865598,97.5108039794605,110.301106848413
249.484873459204,2235.34523769928,2779.07939902014,7275.0,6370.0,130.28770079587,83.8887927075523,113.91507438206,107.215782817105,844.612581259,114.384769351304,14210.0,141.854790359128,7152.0,2792.0,110.968001447053,634.0,112.081842804449,533.0,81.8845665178222,2730.85522547858,1489.31168280734,2054.94321525349,649.0,123.607399703181,898.996405215193,138.324144907958,3456.0,21610,210.461254735509,4744.12442668066,119.764245146722,91.7147536228044,304.239890818934,816.121262792641,6126.0,2535.0,165.570814292892,102.964309532064,2441.0,971.0,673.444594727579,2534.0,837.0,6657.0,864.772550774856,219.496517418609,122.453598226725,2495.39524905573,102.276160891233,118.267137263974,751.0,1476.99896803927,107.495241326629,103.861501475005,4407.0,280.77313082301,6051.0,99.3478476287119,120.021917651382,2014.74492570136,686.0,489.0,1634.0,89.2164233870135,109.457187229326
null,1729.84245662031,2808.68702596713,508.156444102669,151.90775338116,null,83.0383128565566,88.1542272718311,106.763148740955,633.258042738811,116.026595806038,782.219025133189,null,551.248426972033,34.6473463899915,129.535136435529,null,116.776576888927,null,null,2703.16931809697,1513.92378796805,2046.2678383702,65.0199727472949,null,242.359925455544,null,329.73689234298,21670,null,4942.83995534839,112.350806107429,null,285.407359614449,587.796988950329,344.024766145731,164.172227084473,44.6361408976197,104.061265907818,93.0362554680514,40.4464697628041,616.368682564688,102.823365244834,null,271.732485747367,1009.46605228147,null,88.1950509137637,2304.74251494953,104.403289668667,88.6721528022563,null,1498.19913300088,98.384782946056,null,243.227738730744,286.61262070315,477.834057563764,162.050267810806,66.4371524514196,1115.24560179366,null,null,129.025608993394,90.6907984421561,101.09445911211
null,1781.25344181241,2632.28570532561,625.829549597473,162.829694802124,null,73.1931519773297,90.7741743401598,106.769900177282,695.243147355443,117.80041514281,1064.8132125082,null,708.970072870434,null,121.233586050075,null,106.09489666547,30.2297238430547,null,2382.67705488797,1230.96845895964,2046.39723926536,80.7864680415713,null,null,147.591484932299,349.994505902024,21750,null,4490.71302026128,109.486137853306,97.8593916947534,278.13017638001,616.825434446984,502.407979778592,227.145872166285,null,97.5256339331423,145.70536341379,60.008095942313,508.693629491448,166.899956438605,null,418.718808249428,944.77215125956,null,92.5505771866982,2165.25238519579,96.1250018476276,97.3516361993536,null,1521.10366255282,81.1976885576191,null,367.286395439246,263.886691521676,599.945785043495,112.806334181063,44.891377375958,753.567986129529,null,null,142.767529107957,73.7405101151076,94.9759104553887
null,1675.65710262051,2861.39804461179,584.025289497933,139.841275945919,null,87.9565989082317,85.3928960343988,105.790778129723,711.495994530883,108.879954117976,848.597469677539,null,600.718497154354,48.2595948234535,141.350547433392,null,110.172047010254,null,118.309186779983,2863.27565329527,1248.0273528222,2027.63097038527,null,null,284.591669424683,null,278.861747672348,21830,304.080499602248,4663.28788214755,null,null,null,681.742571324808,381.889236696151,203.534973349168,52.4140855005299,106.014198105938,123.514474954614,36.1109750613431,512.026251166844,130.288071347866,null,300.93050996011,1101.54343471456,null,102.290964258669,2307.77260524473,77.0346500427546,99.6274461392943,null,1405.91777021039,81.7296417042503,null,260.149208902598,211.478996531373,501.422942001725,125.070055868113,51.0877348317165,857.582985940503,null,67.5397058440532,112.715675543818,74.762414069079,101.227369985002
261.264179182298,1836.76576323724,2597.83383358988,3096.0,2401.0,136.439170575798,64.4630653689457,93.6031289542307,96.2647195332156,691.694038758239,100.879819150626,7251.0,125.833773166144,3816.0,736.0,94.9955892846148,271.0,110.517408887086,181.0,80.8975686331821,2098.48411487872,1361.45260899361,1845.05048674142,602.0,93.2594417613453,455.232701097385,119.406359590446,2006.0,21890,207.924454187417,4677.9061260569,148.952831282882,79.1714624957259,378.388333439228,596.792803116458,2843.0,1160.0,83.8415466137537,96.2491993028082,942.0,330.0,428.448199327064,1087.0,409.0,2929.0,740.299698893051,175.996804886595,89.5448133373673,2102.29370292101,80.4115610745263,96.8546711730872,282.0,1302.615633414,68.3889111935823,83.2782798802419,2006.0,220.749445037057,3149.0,91.4354093973571,85.7105178224233,1438.77746865824,394.0,316.0,616.0,81.5570936476972,92.2143117563171
178.521166052752,1703.95540359888,2650.03096293379,1697.85433601875,567.913984942424,93.2285470694639,78.5384131784278,86.8350012656043,90.2266212912253,610.103457201666,93.0349443114018,2643.51406181545,null,1831.65387179392,138.725889748468,81.6231529224541,null,112.035484671111,66.8532693821836,78.0152294683963,2556.68283100463,1197.58271403317,1729.32173217384,174.597570637326,null,275.380796022994,161.881400746665,908.581382382865,22110,200.516211792166,4742.16221097077,89.248903900143,107.334209768469,226.721061407135,698.187534729812,1015.96944449355,363.212427096572,50.7176918324136,98.1830920099927,386.221443828986,132.686998759343,605.907221045419,347.232528537175,null,940.875972116847,636.088433012969,null,104.758422262102,2271.44251001511,95.6394838469166,85.4299248189483,null,1201.31830066907,96.7149242235312,null,688.406815101125,262.55382560314,1636.75964626043,104.672163485894,71.0881105564078,1193.31879396588,112.841903956205,148.586485929136,445.863823037782,71.7405548412483,99.6337987713389
276.17561256142,2302.055779856,3002.2409907556,4567.0,3412.0,144.22632153048,99.1051459378311,117.31469974806,120.281940109127,817.127819821689,138.998233177401,7636.0,118.978050300202,4247.0,1121.0,128.743115483886,252.0,127.495288353772,260.0,100.050955062849,3226.19740874847,1232.36559734028,2305.37473355411,384.0,143.761808424593,790.26305695293,178.392155143993,1724.0,22170,257.152848643709,5396.53432377198,109.187571468492,118.281537674853,277.371721265075,754.306480809395,3269.0,1423.0,145.54507346886,111.232399754755,1065.0,528.0,687.600549514452,1158.0,597.0,3268.0,1003.29384074583,177.983621802751,113.178698989879,2783.1053149068,133.08207009214,114.418575064333,253.0,1794.82153198015,109.754815147456,84.2184031700999,2557.0,365.342902496261,3911.0,125.154509152952,144.09653918191,2418.87295928018,389.0,360.0,971.0,73.8242049459054,122.077205864666
